 name zcmb zhel dz mb dmb x1 dx1 color dcolor 3rdvar d3rdvar cov_m_s cov_m_c cov_s_c set ra dec biascor l b survey zCMB_A2
0 03D1au 0.503084 0.5043 0.0 23.001698 0.088031 1.273191 0.150058 -0.012353 0.030011 9.517 0.1105 0.00079 0.00044 -3e-05 1 36.04321 -4.0374690000000015 0.001697 2.980706392523652 -1.0125661515085942 SNLS 0.503084
1 03D1aw 0.580724 0.5820000000000001 0.0 23.573937 0.090132 0.974346 0.273823 -0.0250759999999999 0.036691 9.169 0.088 0.002823 0.000415 0.001574 1 36.06163400000001 -4.517158 0.000843 2.9917222294313137 -1.0186059578447686 SNLS 0.580724
2 03D1ax 0.494795 0.496 0.0 22.960139 0.08811 -0.728837 0.102069 -0.099683 0.030305 11.58 0.1125 0.000542 0.000475 -2.4e-05 1 36.097287 -4.720774 0.001692 2.997149770178964 -1.0208280363428557 SNLS 0.494795
3 03D1bp 0.345928 0.347 0.0 22.398137 0.087263 -1.15511 0.1128339999999999 -0.040581 0.026679 10.821 0.1235 0.001114 0.000616 0.000295 1 36.657235 -4.838779 -0.00027 3.013468427265622 -1.0157542864255609 SNLS 0.345928
4 03D1co 0.677662 0.679 0.0 24.078115 0.098356 0.61882 0.4042949999999999 -0.03938 0.0674029999999999 8.647 0.284 0.011857 0.00078 0.005898 1 36.567748 -4.93505 -0.002855 3.0134804366578547 -1.0180444470808248 SNLS 0.677662
5 03D1dt 0.610712 0.612 0.0 23.285241 0.092877 -1.161563 1.641345 -0.094943 0.0496519999999999 9.715 0.092 0.029671 0.000947 0.044357 1 36.629968 -4.052341 2.6e-05 2.995344410860154 -1.0059579236176135 SNLS 0.610712
6 03D1ew 0.8664940000000001 0.868 0.0 24.353678 0.1060369999999999 0.376409 0.348004 -0.063269 0.067817 8.53 0.805 0.003181 -0.001601 0.004093 1 36.058795 -4.665852 -0.017996 2.9949696393247365 -1.0205668341384682 SNLS 0.8664940000000001
7 03D1fc 0.330932 0.332 0.0 21.861412 0.086437 0.6503939999999999 0.118542 -0.017577 0.023794 10.390999999999998 0.036 0.001006 0.0005269999999999 0.00054 1 36.431648 -4.144059 -0.000526 2.9925468288339885 -1.009458221705111 SNLS 0.330932
8 03D1fq 0.798566 0.8 0.0 24.510389 0.1017769999999999 -1.056666 0.406837 -0.055975 0.064955 10.651 0.127 0.0058969999999999 -0.001115 0.003551 1 36.731935 -4.302217 -0.0115769999999999 3.003291018877772 -1.0079913087012842 SNLS 0.798566
9 03D3aw 0.4495619999999999 0.449 0.0 22.667126 0.091912 0.810113 0.232169 -0.085962 0.038205 10.695 0.034 0.005474 0.000792 0.000662 1 215.22304900000003 52.605624 0.0014 1.6720784628200365 1.039407499037332 SNLS 0.4495619999999999
10 03D3ay 0.3714429999999999 0.3709 0.0 22.273052 0.091326 0.569579 0.197845 -0.054463 0.033075 10.198 0.0675 0.004907 0.000899 0.000913 1 214.49358 52.482613 0.0001889999999999 1.680781650216597 1.046140433978081 SNLS 0.3714429999999999
11 03D3ba 0.291718 0.2912 0.0 21.961068 0.0934789999999999 0.760688 0.172975 0.116118 0.035364 10.211 0.0935 -0.002911 0.001326 -0.001142 1 214.13929700000003 52.34219 -0.001074 1.6833060796351835 1.0504584551885356 SNLS 0.291718
12 03D3bl 0.3558199999999999 0.3553 0.0 22.926619 0.087008 0.055758 0.192657 0.204749 0.029878 10.831 0.0925 0.000395 0.000662 -0.000535 1 214.982501 53.097401 -9.4e-05 1.6869840749711882 1.0346548485970402 SNLS 0.3558199999999999
13 03D3cd 0.4612739999999999 0.4607 0.0 22.575127 0.095948 1.861682 0.5650930000000001 -0.043023 0.038208 9.339 0.152 0.021901 0.001309 0.010876 1 214.666364 52.612079 0.001514 1.6809762650786766 1.0432319614796934 SNLS 0.4612739999999999
14 03D4ag 0.28361 0.285 0.0 21.256943 0.086683 0.937399 0.1046579999999999 -0.085197 0.023476 10.628 0.099 0.001009 0.000524 -0.000243 1 333.690959 -17.739655 -0.001153 0.6832877393109947 -0.9208662920122074 SNLS 0.28361
15 03D4at 0.632234 0.634 0.0 23.73918 0.093125 0.208542 0.330258 -0.050531 0.066776 8.751 0.0775 0.003702 0.000788 0.001452 1 333.600166 -17.776726 -0.000739 0.6813735652280551 -0.919703393198967 SNLS 0.632234
16 03D4au 0.4664140000000001 0.468 0.0 23.789546 0.09035 0.376996 0.332539 0.122416 0.043376 9.464 0.1065 0.0032359999999999 0.00084 0.000892 1 334.0413660000001 -18.07759 0.001557 0.6777272687321689 -0.9284454873012952 SNLS 0.4664140000000001
17 03D4cj 0.268624 0.27 0.0 21.058469 0.086242 1.150557 0.085414 -0.08012 0.023199 6.0 5.0 0.0006 0.000542 -4.4e-05 1 334.027611 -17.704656 -0.001259 0.6876714597897626 -0.925836903256078 SNLS 0.268624
